p,N,NOQ,INQ,CIOQ-0.4-0.4,CIOQ-0.4-0.7,CIOQ-0.4-1.0,CIOQ-0.7-0.4,CIOQ-0.7-0.7,CIOQ-0.7-1.0,CIOQ-1.0-0.4,CIOQ-1.0-0.7,CIOQ-1.0-1.0
0.4,8,1.0,1.7357,1.00143,1.00143,1.00143,1.0,1.0,1.0,1.0,1.0,1.0
0.6,8,1.0,60.7838,1.00745,1.00745,1.00745,1.00002,1.00002,1.00002,1.0,1.0,1.0
0.8,8,1.0,116.116,1.03563,1.03563,1.03563,1.00009,1.00009,1.00009,1.0,1.0,1.0
1.0,8,1.0,137.795,1.8635,1.8635,1.8635,1.22991,1.22991,1.22991,1.0,1.0,1.0
0.4,16,1.0,1.81748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6,16,1.0,65.5264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,16,1.0,117.574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,16,1.0,151.628,1.20439,1.20439,1.20439,1.0,1.0,1.0,1.0,1.0,1.0
0.4,24,1.0,1.90211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6,24,1.0,68.4322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,24,1.0,121.423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,24,1.0,156.035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,32,1.0,1.90655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6,32,1.0,70.4149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,32,1.0,122.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,32,1.0,158.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,48,1.0,1.98322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6,48,1.0,70.9058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,48,1.0,122.717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,48,1.0,160.039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4,64,1.0,1.99185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6,64,1.0,72.193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,64,1.0,124.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,64,1.0,161.415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
